event_id,file,event_group,date,glider_type,recorder_type,event_start_time_utc,event_end_time_utc,event_start_seconds,event_end_seconds,event_duration_seconds,event_duration_log,brief_event_indicator,sustained_event_indicator,start_latitude,start_longitude,pressure_altitude_at_start_m,gnss_altitude_at_start_m,analysis_altitude_at_start_m,terrain_elevation_m,start_agl_m,applicable_agl_threshold_m,above_required_agl,pre_vertical_speed_mean_mps,post_vertical_speed_mean_mps,vertical_speed_change_mps,post_altitude_change_m,post_climb_indicator,vertical_response_improved,post_altitude_gain_indicator,post_altitude_loss_indicator,large_post_altitude_gain_indicator,ENL_evidence,MOP_evidence,RPM_evidence,ENL_event_max,ENL_pre_median,ENL_post_median,ENL_increase_from_pre,ENL_relative_increase,MOP_event_max,MOP_pre_median,MOP_post_median,MOP_increase_from_pre,MOP_relative_increase,RPM_event_max,RPM_pre_median,RPM_post_median,RPM_increase_from_pre,RPM_relative_increase,available_motor_sensor_count,observed_motor_signal_count,motor_evidence_coverage,descriptive_evidence_count,ENL_available,MOP_available,RPM_available,TAS_available,GSP_available,VAT_available,ACZ_available,pre_window_rows,post_window_rows,pre_window_complete,post_window_complete,complete_event_context,missing_start_altitude,missing_start_location,missing_vertical_response,source_processing_status,source_time_series_rows,source_candidate_event_count,sponsor_verified_label,decision_tree_classification,manual_review_status,review_notes
4536-9239003137.igc__event_1,4536-9239003137.igc,1,"110824,1",JS-3-18m_2L,"LXNAV,LX9070PF",18:33:58,18:34:09,66838.0,66849.0,12.0,2.5649493574615367,False,False,29.184466666666665,-99.69038333333332,867.0,922.0,922.0,,,,,1.1333333333333333,-0.25,-1.3833333333333333,-15.0,False,False,False,True,False,False,True,False,4.0,4.0,4.0,0.0,0.0,431.0,13.0,1.0,418.0,32.15384615384615,,,,,,2,1,0.5,1,True,True,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,13618,1,,,not reviewed,
4536-9239003138.igc__event_1,4536-9239003138.igc,1,"110824,1",18m AS33 @ventus,"LXNAV,LX9070PF",21:42:40,21:42:40,78160.0,78160.0,1.0,0.6931471805599453,True,False,29.209366666666668,-99.755,731.0,756.0,756.0,,,,,0.3166666666666666,-2.1333333333333333,-2.4499999999999997,-275.0,False,False,False,True,False,True,False,False,62.0,999.0,4.0,-937.0,-0.9379379379379379,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,12240,2,,,not reviewed,
4536-9239003138.igc__event_2,4536-9239003138.igc,2,"110824,1",18m AS33 @ventus,"LXNAV,LX9070PF",21:43:34,21:43:34,78214.0,78214.0,1.0,0.6931471805599453,True,False,29.20205,-99.76395,632.0,654.0,654.0,,,,,-1.6440677966101696,-2.074380165289256,-0.4303123686790866,-259.0,False,False,False,True,False,True,False,False,222.0,4.0,4.0,218.0,54.5,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,59,121,True,True,True,False,False,False,processed,12240,2,,,not reviewed,
4536-9239003143.igc__event_1,4536-9239003143.igc,1,,AS 33Es 18m,"LXNAV,LX9070",19:01:25,19:01:25,68485.0,68485.0,1.0,0.6931471805599453,True,False,29.240266666666667,-99.70136666666669,1467.0,1568.0,1568.0,,,,,0.0666666666666666,-0.175,-0.24166666666666659,-37.0,False,False,False,True,False,True,False,False,818.0,846.0,4.0,-28.0,-0.03309692671394799,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14112,1,,,not reviewed,
4536-9239003145.igc__event_1,4536-9239003145.igc,1,,Ventus 3M,"LXNAV,LX9070",18:56:06,18:56:17,68166.0,68177.0,12.0,2.5649493574615367,False,False,29.2393,-99.67701666666666,1749.0,1856.0,1856.0,,,,,0.9830508474576272,-0.8088235294117647,-1.7918743768693919,-57.0,False,False,False,True,False,True,False,False,999.0,976.0,4.0,23.0,0.0235655737704918,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,59,119,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_2,4536-9239003145.igc,2,,Ventus 3M,"LXNAV,LX9070",21:00:40,21:00:40,75640.0,75640.0,1.0,0.6931471805599453,True,False,27.88755,-99.29115,1432.0,1511.0,1511.0,,,,,-2.4237288135593222,-1.3666666666666667,1.0570621468926555,-108.0,False,True,False,True,False,True,False,False,26.0,4.0,4.0,22.0,5.5,,,,,,,,,,,1,1,1.0,2,True,False,False,True,True,True,True,59,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_3,4536-9239003145.igc,3,,Ventus 3M,"LXNAV,LX9070",21:16:03,21:16:12,76563.0,76572.0,10.0,2.3978952727983707,False,False,28.042066666666667,-99.04868333333332,1295.0,1359.0,1359.0,,,,,-2.3,-1.9333333333333331,0.3666666666666667,-267.0,False,True,False,True,False,True,False,False,84.0,5.0,4.0,79.0,15.8,,,,,,,,,,,1,1,1.0,2,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_4,4536-9239003145.igc,4,,Ventus 3M,"LXNAV,LX9070",21:16:28,21:17:05,76588.0,76625.0,38.0,3.6635616461296463,False,True,28.04513333333333,-99.0355,1239.0,1300.0,1300.0,,,,,-2.4,-1.6416666666666666,0.7583333333333333,-277.0,False,True,False,True,False,True,False,False,80.0,6.0,4.0,74.0,12.333333333333334,,,,,,,,,,,1,1,1.0,3,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_5,4536-9239003145.igc,5,,Ventus 3M,"LXNAV,LX9070",21:18:06,21:18:24,76686.0,76704.0,19.0,2.995732273553991,False,False,28.048116666666665,-98.98395,1063.0,1111.0,1111.0,,,,,-1.5,-1.6333333333333333,-0.1333333333333333,-220.0,False,False,False,True,False,True,False,False,32.0,4.0,4.0,28.0,7.0,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_6,4536-9239003145.igc,6,,Ventus 3M,"LXNAV,LX9070",21:19:19,21:19:19,76759.0,76759.0,1.0,0.6931471805599453,True,False,28.05183333333333,-98.94463333333331,962.0,1006.0,1006.0,,,,,-1.4666666666666666,-1.4789915966386555,-0.012324929971988974,-150.0,False,False,False,True,False,True,False,False,24.0,4.0,4.0,20.0,5.0,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,60,119,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
