file,date,glider_type,recorder_type,gps_receiver,pressure_sensor,motor_sensor,extensions,b_record_count,valid_b_record_count,invalid_b_record_count,has_i_record,parse_error,FXA,ENL,MOP,RPM,TAS,GSP,VAT,NET,ACZ,AOR,AOP,OAT,extension_count
4536-9239003137.igc,"110824,1",JS-3-18m_2L,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10161,ET=582,41,582,41,2.69V,p=70),SW:201, HW:2","ACZ,AOA,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,SIU,TAS,TRT,VAT",13618,13616,2,True,,True,True,True,False,True,True,True,True,True,True,True,True,14
4536-9239003138.igc,"110824,1",18m AS33 @ventus,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,SIU,TAS,TRT,VAT",12240,12222,18,True,,True,True,False,False,True,True,True,True,True,True,True,True,13
4536-9239003139.igc,"110824,1",JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,SIU,TAS,TRT,VAT",14131,14131,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,13
4536-9239003142.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,ENL,FXA,GSP,OAT,TAS,TRT,VAT",16260,16260,0,True,,True,True,False,False,True,True,True,False,True,False,False,True,8
4536-9239003143.igc,,AS 33Es 18m,"LXNAV,LX9070","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,ENL,FXA,GSP,OAT,TAS,TRT,VAT",14112,14112,0,True,,True,True,False,False,True,True,True,False,True,False,False,True,8
4536-9239003145.igc,,Ventus 3M,"LXNAV,LX9070","uBLOX NEO-M9N,92,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOP,AOR,ENL,FXA,GSP,NET,OAT,TAS,TRT,VAT",14657,14657,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,11
4536-9239003146.igc,,Default,"LXNAV,LX9070","uBLOX NEO-M9N,92,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOA,AOP,AOR,ENL,FXA,GSP,NET,OAT,TAS,TRT,VAT",14655,14655,0,True,,True,True,False,False,True,True,True,True,True,True,True,True,12
4536-9239003148.igc,,Ventus 3T,"LXNAV,LX9000F","uBLOX LEA-6DUAL,50,max50000m","INTERSEMA,MS5561C,max16000m",,"ACZ,AOP,AOR,ENL,FXA,GSP,OAT,TAS,TRT,VAT",6456,6456,0,True,,True,True,False,False,True,True,True,False,True,True,True,True,10
4536-9239003150.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10194,ET=159,37,159,37,0.03V,p=64),SW:100, HW:2","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",12952,12948,4,True,,True,True,True,False,True,True,True,True,True,True,True,True,12
4536-9239003151.igc,"110824,1",JS-3-18m,"LXNAV,LX9070F","uBLOX LEA-6DUAL,50,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10069,ET=747,80,747,80,3.25V,p=24),SW:201, HW:1","ACZ,ENL,FXA,GSP,MOP,OAT,SIU,TAS,TRT,VAT",11103,11012,91,True,,True,True,True,False,True,True,True,False,True,False,False,True,10
