file,event_group,event_start_time_utc,event_end_time_utc,event_start_seconds,event_end_seconds,event_duration_seconds,ENL_evidence,MOP_evidence,RPM_evidence,maximum_motor_evidence_count,start_latitude,start_longitude,pressure_altitude_at_start_m,gnss_altitude_at_start_m,analysis_altitude_at_start_m,pre_vertical_speed_mean_mps,post_vertical_speed_mean_mps,post_altitude_change_m,pre_window_rows,post_window_rows,ENL_event_max,ENL_pre_median,ENL_post_median,MOP_event_max,MOP_pre_median,MOP_post_median,RPM_event_max,RPM_pre_median,RPM_post_median
4536-9239003137.igc,1,18:33:58,18:34:09,66838.0,66849.0,12.0,False,True,False,1,29.184466666666665,-99.69038333333333,867.0,922.0,922.0,1.1333333333333333,-0.25,-15.0,60,120,4.0,4.0,4.0,431.0,13.0,1.0,,,
4536-9239003138.igc,1,21:42:40,21:42:40,78160.0,78160.0,1.0,True,False,False,1,29.209366666666668,-99.755,731.0,756.0,756.0,0.31666666666666665,-2.1333333333333333,-275.0,60,120,62.0,999.0,4.0,,,,,,
4536-9239003138.igc,2,21:43:34,21:43:34,78214.0,78214.0,1.0,True,False,False,1,29.20205,-99.76395,632.0,654.0,654.0,-1.6440677966101696,-2.074380165289256,-259.0,59,121,222.0,4.0,4.0,,,,,,
4536-9239003143.igc,1,19:01:25,19:01:25,68485.0,68485.0,1.0,True,False,False,1,29.240266666666667,-99.70136666666667,1467.0,1568.0,1568.0,0.06666666666666667,-0.175,-37.0,60,120,818.0,846.0,4.0,,,,,,
4536-9239003145.igc,1,18:56:06,18:56:17,68166.0,68177.0,12.0,True,False,False,1,29.2393,-99.67701666666666,1749.0,1856.0,1856.0,0.9830508474576272,-0.8088235294117647,-57.0,59,119,999.0,976.0,4.0,,,,,,
4536-9239003145.igc,2,21:00:40,21:00:40,75640.0,75640.0,1.0,True,False,False,1,27.88755,-99.29115,1432.0,1511.0,1511.0,-2.4237288135593222,-1.3666666666666667,-108.0,59,120,26.0,4.0,4.0,,,,,,
4536-9239003145.igc,3,21:16:03,21:16:12,76563.0,76572.0,10.0,True,False,False,1,28.042066666666667,-99.04868333333333,1295.0,1359.0,1359.0,-2.3,-1.9333333333333333,-267.0,60,120,84.0,5.0,4.0,,,,,,
4536-9239003145.igc,4,21:16:28,21:17:05,76588.0,76625.0,38.0,True,False,False,1,28.045133333333332,-99.0355,1239.0,1300.0,1300.0,-2.4,-1.6416666666666666,-277.0,60,120,80.0,6.0,4.0,,,,,,
4536-9239003145.igc,5,21:18:06,21:18:24,76686.0,76704.0,19.0,True,False,False,1,28.048116666666665,-98.98395,1063.0,1111.0,1111.0,-1.5,-1.6333333333333333,-220.0,60,120,32.0,4.0,4.0,,,,,,
4536-9239003145.igc,6,21:19:19,21:19:19,76759.0,76759.0,1.0,True,False,False,1,28.051833333333335,-98.94463333333333,962.0,1006.0,1006.0,-1.4666666666666666,-1.4789915966386555,-150.0,60,119,24.0,4.0,4.0,,,,,,
4536-9239003145.igc,7,21:19:58,21:19:58,76798.0,76798.0,1.0,True,False,False,1,28.044483333333332,-98.92828333333334,910.0,951.0,951.0,-1.0833333333333333,-0.5042016806722689,-12.0,60,119,26.0,4.0,4.0,,,,,,
4536-9239003145.igc,8,21:32:55,21:33:00,77575.0,77580.0,6.0,True,False,False,1,28.045616666666668,-98.88988333333333,1561.0,1648.0,1648.0,-1.5166666666666666,-1.7333333333333334,-108.0,60,120,116.0,4.0,4.0,,,,,,
4536-9239003145.igc,9,21:33:52,21:33:52,77632.0,77632.0,1.0,True,False,False,1,28.065916666666666,-98.91181666666667,1582.0,1671.0,1671.0,-1.3333333333333333,-2.6083333333333334,-291.0,60,120,22.0,4.0,4.0,,,,,,
4536-9239003145.igc,10,21:36:00,21:36:08,77760.0,77768.0,9.0,True,False,False,1,28.1357,-98.91773333333333,1291.0,1357.0,1357.0,-3.2,1.1166666666666667,211.0,60,120,32.0,4.0,4.0,,,,,,
